product_id,category,product_name,product_description,product_photos,product_weight,product_length,product_height,product_width,description,image
1e9e8ef04dbcff4541ed26657ea517e5,perfumery,perfume,287,1,225,16,10,14,This perfumery item weighs 225 g and measures 16.0 × 10.0 × 14.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
3aa071139cb16b67ca9e5dea641aaa2f,Art,art of galaxy,276,1,1000,30,18,20,This Art item weighs 1000 g and measures 30.0 × 18.0 × 20.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
96bd76ec8810374ed1b65e291975717f,sport leisure,jockey,250,1,154,18,9,15,This sport leisure item weighs 154 g and measures 18.0 × 9.0 × 15.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
cef67bcfe19066a932b7673e239eb23d,babies,baby doll,261,1,371,26,4,26,This babies item weighs 371 g and measures 26.0 × 4.0 × 26.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
9dc1a7de274444849c219cff195d0b71,housewares,nightwares,402,4,625,20,17,13,This housewares item weighs 625 g and measures 20.0 × 17.0 × 13.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
41d3672d4792049fa1779bb35283ed13,musical instruments,guiter,745,1,200,38,5,11,This musical instruments item weighs 200 g and measures 38.0 × 5.0 × 11.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
732bd381ad09e530fe0a5f457d81becb,Cool Stuff,perfume,1272,4,18350,70,24,44,This Cool Stuff item weighs 18350 g and measures 70.0 × 24.0 × 44.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
2548af3e6e77a690cf3eb6368e9ab61e,Furniture Decoration,art of galaxy,184,2,900,40,8,40,This Furniture Decoration item weighs 900 g and measures 40.0 × 8.0 × 40.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
37cc742be07708b53a98702e77a21a02,home appliances,jockey,163,1,400,27,13,17,This home appliances item weighs 400 g and measures 27.0 × 13.0 × 17.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
8c92109888e8cdf9d66dc7e463025574,toys,baby doll,1156,1,600,17,10,12,This toys item weighs 600 g and measures 17.0 × 10.0 × 12.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
14aa47b7fe5c25522b47b4b29c98dcb9,bed table bath,nightwares,630,1,1100,16,10,16,This bed table bath item weighs 1100 g and measures 16.0 × 10.0 × 16.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
03b63c5fc16691530586ae020c345514,babies,guiter,728,4,7150,50,19,45,This babies item weighs 7150 g and measures 50.0 × 19.0 × 45.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
cf55509ea8edaaac1d28fdb16e48fc22,musical instruments,perfume,1827,3,250,17,7,17,This musical instruments item weighs 250 g and measures 17.0 × 7.0 × 17.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
7bb6f29c2be57716194f96496660c7c2,Furniture Decoration,art of galaxy,2083,2,600,68,11,13,This Furniture Decoration item weighs 600 g and measures 68.0 × 11.0 × 13.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
eb31436580a610f202c859463d8c7415,CONSTRUCTION SECURITY TOOLS,jockey,1602,4,200,17,7,17,This CONSTRUCTION SECURITY TOOLS item weighs 200 g and measures 17.0 × 7.0 × 17.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
3bb7f144022e6732727d8d838a7b13b3,sport leisure,baby doll,3021,1,800,16,2,11,This sport leisure item weighs 800 g and measures 16.0 × 2.0 × 11.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery,nightwares,346,2,400,27,5,20,This perfumery item weighs 400 g and measures 27.0 × 5.0 × 20.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
a1b71017a84f92fd8da4aeefba108a24,computer accessories,guiter,636,1,900,40,15,20,This computer accessories item weighs 900 g and measures 40.0 × 15.0 × 20.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
a0736b92e52f6cead290e30b578413b6,Furniture Decoration,perfume,296,2,1700,100,7,15,This Furniture Decoration item weighs 1700 g and measures 100.0 × 7.0 × 15.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
f53103a77d9cf245e579ea37e5ec51f0,bed table bath,art of galaxy,206,1,500,16,10,16,This bed table bath item weighs 500 g and measures 16.0 × 10.0 × 16.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
1c1890ba1779090cd54008a3c3302921,Furniture Decoration,jockey,158,4,2550,29,24,45,This Furniture Decoration item weighs 2550 g and measures 29.0 × 24.0 × 45.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
518ef5de2c2b3a255e326a4594ba15d9,bed table bath,baby doll,329,2,800,36,8,16,This bed table bath item weighs 800 g and measures 36.0 × 8.0 × 16.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
e3e020af31d4d89d2602272b315c3f6e,HEALTH BEAUTY,nightwares,1987,3,75,21,7,13,This HEALTH BEAUTY item weighs 75 g and measures 21.0 × 7.0 × 13.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
8b41fbc2b984a12030090112324d1bc4,babies,guiter,1627,1,500,20,13,13,This babies item weighs 500 g and measures 20.0 × 13.0 × 13.0 cm making it a great choice for everyday use.,C:\Users\admin\Pictures\thumb-1920-282032.jpg
